Family,Collection,treatment,individual,sex,stripe1,stripe2,orange_total,elytrasize,DBL_2stripe,Meanref_2stripe,DBL_black,logDBL_black,Meanref_black,logref_black,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid, ,firststripe_prop,secondstripe_prop
3071,F34,control,8,female,15.41,2.79,18.2,50.41,7867.98,5218.28,1606.69,3.205932091,1472.285,3.167991887,10283.2,6819.8975,152.5,12.8,0.361039476,0.305693315,0.055346161
3071,F34,control,10,female,13.04,4.28,17.32,50.56,7968.93,5314.8775,1519.2,3.181614952,1399.0675,3.145838668,9718.51,6484.425,159.5,16,0.342563291,0.257911392,0.084651899
3071,F34,control,12,female,13.97,5.26,19.23,54.6,10799.17,7176.725,2081.67,3.318411883,1915.9125,3.282375671,12338.66,8204.3975,146.6,17.1,0.352197802,0.255860806,0.096336996
3071,F34,control,13,male,10.49,3.64,14.13,43.52,10080.12,6652.0975,1928.6,3.285242162,1703.725,3.231399496,12228.24,7979.825,115.3,16.4,0.324678309,0.241038603,0.083639706
3071,F34,control,15,female,17.74,4.04,21.78,48.84,9111.13,6023.805,1729.79,3.237993382,1543.4525,3.188493269,11168.4,7390.6925,163.1,28.5,0.445945946,0.363226863,0.082719083
3071,F34,control,17,male,13.7,3.62,17.32,48.09,7265.06,4886.69,1570.25,3.195968802,1419.035,3.151993107,12196.86,8226.78,151.3,13.4,0.360158037,0.284882512,0.075275525
3071,F34,control,19,male,9.93,1.31,11.24,42.61,8988.31,6068.005,2239.19,3.350090946,2130.13,3.328406109,9635.35,6348.8125,126,16.5,0.263787843,0.233043886,0.030743957
3077,F34,control,2,male,12.31,3.38,15.69,49.41,9270.55,6189.9475,1619.29,3.209324634,1500.415,3.176211397,11497.7,7541.93,139.2,7.7,0.317547055,0.24913985,0.068407205
3077,F34,control,4,male,11.43,3.67,15.1,48.49,7016.54,4779.815,1428.3,3.154819436,1291.86,3.111215451,9602.47,6338.05,137.9,15,0.311404413,0.235718705,0.075685708
3077,F34,control,5,male,12.63,4.42,17.05,45.57,8324.13,5526.9675,1589.2,3.201178556,1432.2625,3.156022621,11195.17,7347.535,129.4,13.8,0.37414966,0.277156024,0.096993636
3077,F34,control,7,male,11.31,4.21,15.52,48.57,10205.39,6621.335,1687.26,3.227182011,1535.635,3.186288002,11187.83,7392.755,134.2,12.8,0.31953881,0.23285979,0.08667902
3077,F34,control,10,female,11.21,4.53,15.74,45.75,12270.21,8166.7625,2181.5,3.338755217,2051.505,3.31207258,12353.97,8281.2575,118.5,22.2,0.344043716,0.245027322,0.099016393
3077,F34,control,11,female,12.77,4.8,17.57,48.78,8643.72,5647.375,1542.84,3.18832089,1372.2425,3.137430866,9823.9,6354.8625,123.3,17.7,0.360188602,0.261787618,0.098400984
3077,F34,control,12,male,11.03,3.75,14.78,42.56,10769.19,7110.0875,1817.3,3.259426627,1622.765,3.210255632,12225.18,7979.6475,106.3,12,0.347274436,0.259163534,0.088110902
3077,F34,control,20,female,10.97,1.96,12.93,41.85,6926.84,4732.5375,1672.07,3.223254455,1506.1825,3.177877597,10673.17,7028.02,94.2,9.3,0.308960573,0.262126643,0.046833931
3083,F34,control,14,male,,,,,,,,,,,,,158.9,13.2,,,
3083,F34,control,15,male,,,,,,,,,,,,,163.7,15.4,,,
3083,F34,control,25,female,,,,,,,,,,,,,135.2,9.1,,,
3089,F34,control,4,male,7.71,2.07,9.78,49.287,11157.165,7451.4515,2124.759,3.327309677,2049.7815,3.311707569,13977.324,9397.4535,184.4,20.7,0.198429606,0.156430702,0.041998904
3089,F34,control,5,male,6.33,1.71,8.04,48.313,9128.923,5974.173,2200.503,3.342521965,1773.01125,3.248711491,10910.155,7148.4985,191.6,5.1,0.166414837,0.131020636,0.0353942
3089,F34,control,7,male,7.03,2.22,9.25,47.669,8496.962,5560.91625,1717.977,3.235017345,1547.2875,3.189571017,11260.123,7600.201,170.2,1.7,0.194046445,0.147475298,0.046571147
3089,F34,control,8,male,7.27,1.3,8.57,47.465,6115.699,4095.55,1330.619,3.12405372,1153.918,3.062174948,9015.422,6047.05175,161.6,0,0.180554092,0.15316549,0.027388602
3089,F34,control,9,female,7.93,3.17,11.1,53.19,8829.791,5781.1545,2337.606,3.368771313,2864.97975,3.457121557,9342.996,6335.4005,190,16.7,0.208685843,0.149088174,0.059597669
3089,F34,control,10,female,5.76,1.65,7.41,38.342,10537.466,6965.274,1536.049,3.18640507,1367.011,3.135772009,11056.309,7261.1825,96.8,13,0.193260654,0.150226905,0.043033749
3089,F34,control,12,male,5.57,1.69,7.26,45.217,8744.958,5753.35925,1569.216,3.195682728,1407.30075,3.148386919,9334.048,6154.863,120.8,7.7,0.160559082,0.123183758,0.037375323
3089,F34,control,13,female,7.46,2.52,9.98,52.593,9166.818,5963.1445,1439.64,3.158253905,1383.00625,3.140824143,10932.863,7412.814,171.8,1,0.189759093,0.141843972,0.047915122
3089,F34,control,14,female,5.86,1.35,7.21,51.496,10684.33,6893.37775,1865.094,3.270700725,1842.01525,3.265293221,12012.202,8067.75425,143.1,12,0.140010875,0.113795246,0.026215628
3089,F34,control,15,female,6.24,1.92,8.16,49.682,8045.142,5297.936,1389.338,3.142807914,1286.928,3.10955425,9427.051,6284.227,149.8,8.3,0.164244596,0.125598808,0.038645787
3092,F34,control,1,male,13.57,3.87,17.44,46.6,9894.55,6564.37,1565.41,3.194628104,1433.9375,3.156530222,13065.6,8530.0525,170.1,8.5,0.374248927,0.291201717,0.08304721
3092,F34,control,7,male,15.51,7.16,22.67,50.14,9949.94,6514.2975,1653.11,3.218301753,1588.47,3.200979017,8968.07,5886.87,152,18.2,0.452134025,0.309333865,0.14280016
3092,F34,control,8,female,12.91,4.86,17.77,45.56,9161.66,6012.2025,1338.92,3.126754629,1243.3975,3.09460999,14075.62,9378.0625,158.8,19.9,0.390035119,0.283362599,0.10667252
3092,F34,control,11,male,9.84,3.32,13.16,35.5,10914.56,7115.7075,2190.26,3.340495672,1957.9875,3.291809915,16549.73,11254.8,106.4,13.1,0.370704225,0.277183099,0.093521127
3092,F34,control,17,female,11.06,4.01,15.07,37.02,9360.24,6196.195,1466.56,3.166299836,1295.0625,3.112290728,11140.99,7293.1225,128.1,23.3,0.407077256,0.298757428,0.108319827
3092,F34,control,18,female,13.2,4.7,17.9,46.6,10078.87,6683.6275,1717.63,3.234929617,1469.1025,3.167052098,11355.25,7469.95,150.3,7.4,0.384120172,0.283261803,0.100858369
3092,F34,control,22,male,10.03,4.58,14.61,41.3,9645.92,6396.7675,1836.34,3.263953094,1632.0625,3.212736786,11102.15,7336.4875,148.2,10,0.353753027,0.242857143,0.110895884
3092,F34,control,23,male,13.76,3.74,17.5,40.62,10202.86,6651.1575,1526.63,3.183733793,1429.255,3.15510972,13706.39,9087.14,180.2,24.5,0.430822255,0.338749385,0.092072871
3092,F34,control,24,female,15.1,5.74,20.84,49.02,10747.3,7057.145,1508.36,3.178505007,1394.39,3.14438426,11015.32,7179.745,163.1,13.1,0.425132599,0.308037536,0.117095063
3092,F34,control,25,female,11.66,4.14,15.8,42.07,12218.97,8134.055,3725.31,3.571162418,3532.37,3.548066188,13088.9,9083.2525,149.4,16.8,0.375564535,0.277157119,0.098407416
40116,F34,control,6,female,21.94,10.3,32.24,66.88,8519.1,5667.8025,2239.61,3.350172398,1840.8625,3.265021351,8874.2,5983.23,249.7,11.1,0.482057416,0.328050239,0.154007177
40116,F34,control,8,female,18.25,8.35,26.6,60.84,9854.81,6669.435,2091.79,3.320518082,1922.025,3.283759032,9629.38,6594.99,226.6,14.7,0.43721236,0.299967127,0.137245233
40116,F34,control,9,male,17.71,7.25,24.96,61.89,7223.82,4889.1,1466.16,3.166181367,1372.9725,3.137661839,7922.17,5398.4825,238.4,15.3,0.403296171,0.286152852,0.117143319
40116,F34,control,10,male,20.11,7.69,27.8,69.23,8961.94,6162.2,1904.84,3.279858502,1738.98,3.240294587,11548.12,8082.75,276.4,12.9,0.401560017,0.290481005,0.111079012
40116,F34,control,12,male,18.74,8.73,27.47,61.05,8125.83,5462.9625,1618.82,3.209198561,1506.45,3.177954722,9151.78,6229.7275,243.8,6.2,0.44995905,0.306961507,0.142997543
40116,F34,control,13,male,16.29,6.92,23.21,53.99,7218.33,4822.6375,1526.9,3.183810595,1407.69,3.148507025,8991.21,6094.2125,193,16.5,0.429894425,0.301722541,0.128171884
40116,F34,control,14,female,16.21,9.22,25.43,59.81,7517.41,5136.5075,1547.17,3.189538036,1409.7225,3.149133631,6872.38,4693.16,225.1,30.3,0.425179736,0.271024912,0.154154824
